netzabschnitts_id,velocity_15,velocity_50,velocity_65,velocity_75,velocity_85,avg_velocity
659,78.10173802936868,84.92521801151467,86.08441066571527,86.81453948702797,87.81589059997543,82.55353633370332
138,84.9301933474931,86.60659173172105,87.2388684306233,87.790210526972,88.6784147306368,86.82417323100037
265,71.56209618999081,79.22223903765642,81.09765514464385,82.5085631509168,84.2767246922701,77.50655610344067
649,76.23144136717801,83.11097786686511,84.48284798607415,85.37813126314927,86.42417277806746,81.68421983553772
120,84.51477843049348,88.12691598448819,90.43936411697624,93.12472440842362,96.91137403963819,89.83372633004828
171,81.84362251136773,84.68462520156322,85.85647549911697,86.71359606904815,87.8625770505921,84.94346006762704
45,72.10186522712678,82.09728060342663,85.05037388336623,87.14711385221996,89.98466279300843,81.48590786435139
511,82.99785727255941,86.27074618333549,87.10254957548939,87.71768474036712,88.61211617684577,85.87132621578272
628,80.4660932875056,84.6693033683098,85.8664733549501,86.70760127591804,87.7240184629871,83.76074913861106
136,84.76713150645118,86.21544454405327,86.73718115530625,87.15631961021548,87.77540640449097,86.06082452744084
437,81.55846692608796,85.5512858647031,86.69105766863085,87.48820875921126,88.63456978127236,85.38366007811862
56,82.90714507520957,86.49050903178178,87.46616168239278,88.3735556069561,90.00332032562766,84.74503390224551
24,83.67877830151087,86.90174693655797,87.84411843432768,88.75686656313974,90.83709813204196,87.23969879485603
505,80.78394409145014,85.71520306044425,86.89270512785636,87.6879762082661,89.00083419477915,85.23908865123461
507,77.36761691848578,83.64976176216062,85.02439031123468,85.92008130283944,86.98070826813108,82.31546255320875
694,74.99103582887152,79.74179247429696,81.08985056635234,81.95112240370396,82.92124895754692,78.27936952783307
161,79.66666178031296,85.20192114335536,86.17297639220025,86.90090196901633,88.02476108658347,83.95227195001281
232,83.73387198481649,85.69144199046106,86.32528517217065,86.81502816401432,87.53169007469418,85.195656553857
271,86.10955821191018,90.5951174914827,93.33579109043026,95.48063426757247,98.38747826987796,91.75687637822223
524,83.52524194735527,85.78391196783419,86.57062058265639,87.1702782125562,88.03710246854354,85.71251295507152
523,82.64255592542936,85.69515988895542,86.77890129682397,87.56174352253488,88.74520467607209,85.84905027574796
632,84.04604028363556,86.37392650401134,87.10321838296771,87.66589907654914,88.49153703142146,86.20716746943592
645,75.43960421863689,84.97380821441335,86.87748127100018,88.46571756949268,90.85601930538552,82.68494609230542
558,53.16652809261334,86.44686681756141,87.71438721357411,88.67611035373949,90.5477927377944,78.35617578866882
718,83.05404018346182,85.10012208145844,85.68266190090918,86.12235799201386,86.71358999666901,84.1379105011096
501,79.11106941850302,84.35136289243317,85.7981044149591,86.77581486631082,88.19796491888785,84.03783894130129
585,83.44918568419443,86.77684102974027,87.63820713106293,88.30401662745267,89.22299793593626,86.50677275360856
572,83.17546022920095,86.2003853842051,87.1152760463225,87.80831782564768,88.87608797841106,85.7201980807788
588,77.74545596367373,83.41969952284205,84.66274159528922,85.46393143559409,86.37870033899011,81.08148527341659
729,80.82569992989461,84.89760015452002,86.4435059529027,87.45799351135322,89.26215585841659,85.6301952786325
424,77.70992846935567,85.52197869175258,87.00257935871788,88.02802512274292,89.68625667957834,83.60737106659484
425,75.73407795702623,84.1037560816138,85.73070729206847,86.77505642296404,88.2571001006179,82.79700252292828
4,83.71504104426987,88.10770434399159,90.3654008792692,92.87451256153493,96.64645737645836,89.48921908023785
430,76.61961936409224,85.07609561662488,86.71756270959649,88.00309496007027,89.78478244199276,83.25287204906836
749,78.30872359841071,85.45551931330131,86.22626535392176,86.77801748731875,87.47282983819801,83.84884159251897
421,72.46852268581964,83.79951583319485,86.96020016429135,89.24351139536056,92.42686740187277,82.8484066181372
492,81.16479428620961,86.32343375182971,88.47060982380434,90.46350143241744,93.24933271242244,86.85738667605345
